,YEAR,SITEID,PLOTID,SITE.PLOT,RC_INTERP,ESG,STM,STATE_INTERP,PHASE_INTERP,REFERENCENUM,REFERENCE,ESGEN,ACHNA,ANNUAL,ARAD,ARFRI,BARTEM,CLEIST,CXDU,LEYM,ELCHN,MEADPF,MEADPG,NISB,PPFF,PPGG,SMBPG,STBA,STGBGL,STGR,STIPA,STKR,SRC,GOOD ARTEMISIA,HIMTNMEADOWSPP,OTHER ALLIUM,SHRUB,SUB-SHRUB,CXPED,POTAC,POTBI,PCT.FOLIAR.COVER,PCT.BARE.SOIL,SPECIES.COUNT,SITENAME,LINEID,TOTALWTHECTARE
1,2012,AR-BATTSENGEL,BAYANUUL-EEZGIITIIN HUJIRT,AR-Battsengel / Bayanuul-Eezgiitiin hujirt,I,Loamy,2,1,1.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,9.75,0,0,1,0,18.25,0,0,0,0,0,10.5,9.75,0,0,0,0,0,44,0,0.25,0,7.25,0,0,0,0.25,0.25,80.25,9.5,20,Arhangai-Battsengel,1,1012.023682
2,2012,AR-BATTSENGEL,DAIR BOR- YASTIIN ENGER,AR-Battsengel / Dair bor- Yastiin enger,II,Loamy,2,2,2.1,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0.75,0,30,0,0,27.75,0,0,0,0,0,6.75,18.5,0,0,0,0,0,18.75,0,0,0,0,0,0,0,0,0.25,81.5,12.25,12,Arhangai-Battsengel,1,399.8093262
3,2012,AR-BATTSENGEL,DEL-TUULAI TOLGOI,AR-Battsengel / del-tuulai tolgoi,II,Loamy,2,2,2.1,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,2.5,0,2.5,1.25,0,35.5,0,0,0,0,0,29.75,25,0,0,0,0,0,36,0,0,0,2.25,0,0,0,0,1,88.25,4.75,12,Arhangai-Battsengel,1,1263.629517
4,2012,AR-BATTSENGEL,HONOG- NUUDII,AR-Battsengel / Honog- Nuudii,I,Loamy,3,1,1.1,1,Yes,"STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0.25,0,1.25,0,0,8.75,0,0,0,0,0,8,17.5,0.25,74.75,0,0,0,0,0,0,0,0,0,0,0,0.25,0.75,88.25,7.75,17,Arhangai-Battsengel,1,1025.223999
5,2012,AR-BATTSENGEL,TSATS-URT BULAG,AR-Battsengel / Tsats-Urt bulag,I,Loamy,2,1,1.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,4.25,0,9,0.25,0,5.5,0,0,0,0,0,19,11,3.5,0,0,0,0,66.75,0,2.75,0,1.5,0,0,0,2.75,0,88.25,9.5,32,Arhangai-Battsengel,1,1133.226563
6,2012,AR-BATTSENGEL,ULAANCHULUU-ASGAT,AR-Battsengel / Ulaanchuluu-Asgat,I,Loamy,3,1,1.1,1,Yes,"STBA-forbs meadow rangeland in loamy fan ESG, FS",0,4.5,0,27.25,0,0,19.75,0,0,0,0,0,12.75,16.5,5.75,25.75,0,0,0,0,0,0,0,2.5,0,0,0,1.25,0,83.75,12.75,27,Arhangai-Battsengel,1,1118.226196
7,2012,AR-BULGAN,BAYANBULAG-HADAT UUL,AR-Bulgan / Bayanbulag-Hadat uul,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,6.75,0,19,12.5,0,16.25,0,0,0,0,0,10.5,9,11,0,0,0,0,5.25,0,0,0,0,0,13,11,0,10.5,62.5,37.5,13,Arhangai-Bulgan,1,97.00226593
8,2012,AR-BULGAN,TAMIR-TUGS,AR-Bulgan / Tamir-Tugs,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,10.5,0,23,7,0,14.5,0,0,0,0,0,19.25,15.25,7.5,0,0,0,0,1.5,0,0,0,0,0,11,13.75,0,19.25,59,41,13,Arhangai-Bulgan,1,110.4025803
9,2012,AR-BULGAN,TUSGALT-BUNHAN,AR-Bulgan / Tusgalt-Bunhan,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,6.25,0,24.5,8.5,0,12.5,0,0,0,0,0,17.75,15,8,0,0,0,0,1,0,0,0,0,0,14.5,12.5,0,17.75,65.75,34.25,13,Arhangai-Bulgan,1,95.00222778
10,2012,AR-BULGAN,ZUUN MOD-MANHAN,AR-Bulgan / Zuun mod-Manhan,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,12.25,0,33,10.75,0,9.5,0,0,0,0,0,24.25,7.75,7.75,0,0,0,0,11.75,0,5.25,0,0,0,20,10.75,0,24.25,73.75,26.25,14,Arhangai-Bulgan,1,94.80221558
11,2012,AR-BULGAN,ZUUNMOD-EREEN,AR-Bulgan / Zuunmod-Ereen,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,11.5,0,22.75,7.5,0,14.25,0,0,0,0,0,17.25,14.25,7.5,0,0,0,0,3,0,0.25,0,0,0,11,14,0,17.25,59,41,14,Arhangai-Bulgan,1,255.2059479
12,2012,AR-CHULUUT,HAIRKHAN-EMT NAMARJAA,AR-Chuluut / Hairkhan-Emt namarjaa,II,Loamy,2,2,2.1,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,7,0,0,38.25,0,0,0,0,0,22.75,12,6.5,0,0,0,0,18.5,2,4,0,0,0,0,0,0,6.75,78.75,13.5,15,Arhangai-Chuluut,1,656.6152954
13,2012,AR-CHULUUT,HALUUN US-TSAGAAN HOTOL,AR-Chuluut / Haluun us-Tsagaan hotol,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0.75,0.25,8.25,0.25,0,45,0,0,0,0,0,23.75,12,13.75,0,0,0,0,0,0,6.75,0,0,0,0,0,0,5.75,73.5,13.75,21,Arhangai-Chuluut,1,526.4123535
14,2012,AR-CHULUUT,HUREM- TSAGAAN ASGA,AR-Chuluut / Hurem- Tsagaan asga,II,Loamy,3,2,2.1,1,No,"STBA-forbs meadow rangeland in loamy fan ESG, FS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2012,AR-CHULUUT,ZUUN MOD-TSOHIOT,AR-Chuluut / Zuun mod-Tsohiot,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,2.5,0,14.5,0,0,34.75,0,0,0,0,0,21.75,7,10,0,0,0,0,6.25,0,5.75,0,0,0,0,0,0,2,69.75,17,22,Arhangai-Chuluut,1,663.6155396
16,2012,AR-CHULUUT,ZUUNMOD-NARANGIIN ENGER,AR-Chuluut / Zuunmod-narangiin enger,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,13.25,13.25,13.25,0,50.75,0,0,0,0,0,20.75,5.75,8,0,0,0,0,3.75,1,0,0,0,0,0,0,0,3.25,85.5,9.75,19,Arhangai-Chuluut,1,539.0125732
17,2012,AR-ERDENBULGAN,BOR-TOLGOI-MAANIT,AR-Erdenbulgan / Bor-tolgoi-Maanit,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,1.5,1.25,24,1.25,1,35.5,2.25,2.25,0.75,1.5,0,61,9.75,11.75,0,0,0,0,16,0,1.5,0,6.25,0,0,18,0.25,35.25,93.25,3.75,48,Arhangai-Erdenebulgan,1,523.6122437
18,2012,AR-ERDENBULGAN,URT BULGIIN EH,AR-Erdenbulgan / Urt bulgiin eh,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,2.25,0.5,5,1,0.5,49,0,0,1.25,4.75,0,58.25,10,12.5,0,0,0,0,6.5,0,0.5,0,2,0,0,14,6.25,9.5,97,0.25,59,Arhangai-Erdenebulgan,1,666.015564
19,2012,AR-ERDENEMANDAL,BAGA BULAG,AR-Erdenemandal / Baga bulag,II,Loamy,3,2,2.1,2,No,"STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,0,0,16,34.25,0,0,3.25,0,0,79.75,0,11.25,13,0,0,0,0,0,0,0,0,0,0,0,0,10.25,100,NA,27,Arhangai-Erdenemandal,1,602.0140381
20,2012,AR-ERDENEMANDAL,GONGORIIN JALGA,AR-Erdenemandal / Gongoriin jalga,I,Loamy,3,1,1.1,1,Yes,"STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,0,0,3,14.5,0,0,6.5,0,0,93.5,23.5,12,29.5,0,0,0,0,0,0,0,0,0,0,0,0,9.75,99,0.25,27,Arhangai-Erdenemandal,1,784.418335
21,2012,AR-ERDENEMANDAL,OLDOH ZUSLAN,AR-Erdenemandal / Oldoh zuslan,I,Loamy,3,1,1.1,1,Yes,"STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,0,0,5.25,17.5,0,0,0,0,0,74.25,23.25,22.75,29.5,0,0,0,0,1,0,0,0,0,0,0,0,0,93,5.5,15,Arhangai-Erdenemandal,1,492.2114868
22,2012,AR-ERDENEMANDAL,OLZIIT DENJ,AR-Erdenemandal / Olziit denj,II,Loamy,2,2,2.1,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,3.75,0,3.75,11,33.75,0,0,0,0,0,59.25,0,23,0,0,0,0,21.5,0,4.5,0,0,0,0,0,0,9.25,87.25,11.75,15,Arhangai-Erdenemandal,1,366.0085754
23,2012,AR-ERDENEMANDAL,SHANAGA HAVARJAA,AR-Erdenemandal / Shanaga havarjaa,II,Loamy,3,2,2.2,2,No,"STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,3.25,0,3.25,7,14.5,0,0,0,0,0,45.75,4.25,12.25,9.75,0,0,0,0,0,4.75,0,0,0,0,0,0,0,83.25,NA,16,Arhangai-Erdenemandal,1,531.2124634
24,2012,AR-ERDENEMANDAL,SHAR ENGER,AR-Erdenemandal / Shar enger,II,Loamy,3,2,2.1,2,No,"STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,0,0,4,8.25,0,0,9.5,0,0,94,7.75,3.5,38,0,0,0,0,0,0,0,0,0,0,0,0,7.25,99.5,NA,26,Arhangai-Erdenemandal,1,723.6168823
25,2012,AR-HAIRHAN,ASGAT-TASHGAI,AR-Hairhan / Asgat-Tashgai,I,Gravelly,1,1,1.2,2,No,"Small bunch grass-forb-ARFRI rangeland in Gravelly hills ESG, FS",0,7,0,21.5,0,0,2.5,0,0,0,2.25,0,30.25,9.5,40,0,0,0,0,23.5,1,0,0,2.25,0,0,9.25,0,2.75,95.75,4.25,27,Arhangai-Hairhan,1,878.6206055
26,2012,AR-HAIRHAN,HAIRHAN-HANAN HAD,AR-Hairhan / Hairhan-Hanan had,I,Loamy,2,1,1.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,1.75,0,20.75,0,0,2.25,0,0,0,4.25,0,29,5.75,37,0,0,0,0,20.25,0,1,0,4.75,0,0,11,0,11.5,97.75,2.25,27,Arhangai-Hairhan,1,361.4084473
27,2012,AR-HAIRHAN,JARANTAI-ARIIN BULAG,AR-Hairhan / Jarantai-Ariin bulag,II,Loamy,3,1,1.1,2,Yes,"STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0.75,0,17.75,0,0,1.25,0,0,0,0.5,0,33.75,2.5,38,7.5,0,0,0,0,0,1,0,2.25,0,0,17.5,0,19.5,89.25,10.75,24,Arhangai-Hairhan,1,242.4056702
28,2012,AR-HAIRHAN,MOGOI-SHAND,AR-Hairhan / Mogoi-Shand,II,Loamy,3,1,1.1,2,Yes,"STBA-forbs meadow rangeland in loamy fan ESG, FS",0,1.5,0,46.25,0,0,0,0,0,0,13.25,0,4.5,6,10.25,42,0,0,0,0,0,1,0,0.25,0,0,14.5,0,0,92,8,19,Arhangai-Hairhan,1,787.418396
29,2012,AR-HAIRHAN,UGUUMUR-UU BULAN,AR-Hairhan / Uguumur-Uu bulan,I,Loamy,2,1,1.1,1,Yes,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,8.25,0,26.5,0,0,6,0,0,0,1,0,23.5,5.5,21.5,0,0,0,0,32,1,0.5,0,1.25,0,0,1.5,0,0,93.5,6.5,22,Arhangai-Hairhan,1,293.4068604
30,2012,AR-HANGAI,AR BAYASGALAN-ZOOGIIN HUNDII,AR-Hangai / Ar bayasgalan-Zoogiin hundii,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,2012,AR-HANGAI,BAYAN-ULAAN- NARIIN JALGA,AR-Hangai / Bayan-Ulaan- Nariin jalga,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,2012,AR-HANGAI,CHANDMANI-CHANDMANI TOLGOI,AR-Hangai / Chandmani-Chandmani tolgoi,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,2012,AR-HANGAI,GICHGENE-TSUURAI,AR-Hangai / Gichgene-Tsuurai,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,2012,AR-HANGAI,NOEN HANGAI-MASHIIN GUU,AR-Hangai / Noen hangai-Mashiin guu,II,Loamy,2,2,2.1,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,6,0,4.5,0,0,7,0,0,0,5,0,21,8,18.25,0,0,0,1,5.25,0,0.5,0,0,2.25,2.75,2.5,0,2.75,57.75,33.5,45,Arhangai-Hangai,1,36.00084305
35,2012,AR-HANGAI,TERH- TSEGIIN MUHAR,AR-Hangai / Terh- Tsegiin muhar,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,2012,AR-HASHAAT,BAYAN-HAIRIIN OVOO,AR-Hashaat / Bayan-Hairiin ovoo,II,Deep Sandy,9,2,2.1,2,No,"Caragana-grass rangeland in Deep sandy alluvial plain ESG, Steppe",5.25,0,11.25,3.5,11.25,0,2.5,17.75,17.75,0,0,0,4,44,4.25,0,0,0,0,3,1,0,0,0.5,0.5,0,0,0,3.5,74.25,19.25,15,Arhangai-Hashaat,1,96.20225525
37,2012,AR-HASHAAT,JARGALANT-TSAGAAN CHULUUT,AR-Hashaat / Jargalant-Tsagaan chuluut,II,Deep Sandy,9,2,2.1,2,No,"Caragana-grass rangeland in Deep sandy alluvial plain ESG, Steppe",0,0.5,9.25,9,9.25,0,32.25,38.25,38.25,0,0,0,1,5.75,4.5,0,0,0,0,16.25,1,0,0,4,3.5,0,0,0,0.25,85.5,14,13,Arhangai-Hashaat,1,336.2078247
38,2012,AR-HASHAAT,NOMGON-BOR HOOLOI,AR-Hashaat / Nomgon-Bor hooloi,I,Sandy loam,8,1,1.2,1,Yes,"STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0.75,0,12,2.75,12,0,30.75,36.5,36.5,0,0,0,4.25,17,0,0,0,0,0,11.25,1,0,0,2.25,2,0,0,0,0,86,12.75,11,Arhangai-Hashaat,1,197.6046295
39,2012,AR-HASHAAT,TSAGAANHAD-JIMBEGER,AR-Hashaat / Tsagaanhad-jimbeger,I,Deep Sandy,9,1,1.1,1,Yes,"Caragana-grass rangeland in Deep sandy alluvial plain ESG, Steppe",0,0,5,3.5,5,0,22,45.25,45.25,0,0,0,1.25,13.75,3.5,0,0,0,0,33,1,0,0,0,2.75,0,0,0,1.25,86,12.75,10,Arhangai-Hashaat,1,420.4098511
40,2012,AR-HASHAAT,TSAIDAM-GUNGIIN HOOLOI,AR-Hashaat / Tsaidam-Gungiin hooloi,II,Deep Sandy,9,2,2.1,2,No,"Caragana-grass rangeland in Deep sandy alluvial plain ESG, Steppe",0.5,0,11,23,11,0,22.5,39.75,39.75,0,0,0,2.75,2.5,0.5,0,0,0,0,3,1,0,0,4.25,5.25,0,0,0,1.5,82.75,16.25,13,Arhangai-Hashaat,1,264.406189
41,2012,AR-HASHAAT,TSAIDAM-NAMAG,AR-Hashaat / Tsaidam-Namag,II,High water table,4,2,2.1,2,No,"Carex-Grass-forbs rangeland in High water table ESG, FS",0,0,0,0,0,0,74.5,30.5,30.5,4,0,0,10.5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1.25,92.5,7,11,Arhangai-Hashaat,1,1275.029785
42,2012,AR-HOTONT,BURGALTAI-BOGOCHNII AR,AR-Hotont / Burgaltai-Bogochnii ar,I,Loamy,3,1,1.2,2,No,"STBA-forbs meadow rangeland in loamy fan ESG, FS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,2012,AR-HOTONT,HOOVOR-IHRIIN ZUUN UVDUG,AR-Hotont / Hoovor-Ihriin zuun uvdug,I,Loamy,3,1,1.1,1,Yes,"STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,14.5,0,0,0,6.5,6.5,0.25,0,0,27,17.5,11.25,32.25,0,0,0,0,0,0.25,0,6,0,0,16.75,8.25,7.25,58.25,NA,21,Arhangai-Hotont,1,865.0202637
44,2012,AR-HOTONT,HOTONT-UHAA UUL,AR-Hotont / Hotont-Uhaa uul,I,Loamy,3,1,1.1,1,Yes,"STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,15.5,0,0,0,5.5,5.5,0,0,0,29,16.5,17.25,31,0,0,0,0,0,0,0,9.75,0,0,17,12.25,12.25,63.75,NA,13,Arhangai-Hotont,1,598.2139282
45,2012,AR-HOTONT,ORHON-HAR OVOO,AR-Hotont / Orhon-Har Ovoo,I,Loamy,3,1,1.1,1,Yes,"STBA-forbs meadow rangeland in loamy fan ESG, FS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,2012,AR-HOTONT,ULAAN CHULUU-UUJ,AR-Hotont / Ulaan chuluu-uuj,I,Loamy,3,1,1.1,1,Yes,"STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0.25,0,12.75,0,0,0,6.25,6.25,0.25,0,0,28,20.75,13.25,23.75,0,0,0,0,0,0,0,4.25,0,0,23,7.25,8.75,61.5,NA,20,Arhangai-Hotont,1,1993.446655
47,2012,AR-HOTONT,UNDURSANT-SUULTOLGOI,AR-Hotont / Undursant-Suultolgoi,I,Loamy,3,1,1.1,1,Yes,"STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,16,0,0,0,8,8,0.5,0,0,26,18.75,12.25,24,0,0,1,0,0,0,0,5.75,0,0,12.25,7.25,6.25,56.5,NA,21,Arhangai-Hotont,1,1382.83252
48,2012,AR-IKHTAMIR,BORT-TALIIN TSOHIO,AR-Ikhtamir / Bort-Taliin tsohio,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,3.5,0,19.75,0,0,66,0,0,0,0,0,23.75,5,1.75,0,0,0,0,0.25,0,0,0,5,0,0,0,0,3.75,92.5,3.75,23,Arhangai-Ikhtamir,1,362.60849
49,2012,AR-IKHTAMIR,BUGAT-DARGIIN BULAG,AR-Ikhtamir / Bugat-Dargiin bulag,II,Loamy,2,2,2.1,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,3.75,0,7.75,0,0,56.25,0,0,0,0,0,28,12.75,14.25,0,0,0,0,28.25,0,0,0,1.75,0,0,0,0,1.5,95.75,0.75,26,Arhangai-Ikhtamir,1,608.0142212
50,2012,AR-IKHTAMIR,ERDENETOLGOI-DELIIN TAG,AR-Ikhtamir / Erdenetolgoi-Deliin tag,II,Gravelly,1,2,2.1,2,No,"Small bunch grass-forb-ARFRI rangeland in Gravelly hills ESG, FS",0,1,0,4.25,0,0,12.5,0,0,0,0,0,7.25,6.75,2,0,0,0,0,4.25,1,0.25,0,1,0,0,5.5,0,0.25,40.25,6,26,Arhangai-Ikhtamir,1,390.209137
51,2012,AR-IKHTAMIR,ERDENETOLGOI-TUULAIN BULAG,AR-Ikhtamir / Erdenetolgoi-Tuulain bulag,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0.75,7.5,3.75,7.5,0,68.25,0,0,0,0,0,5,17.75,2.75,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0.75,93,1.75,22,Arhangai-Ikhtamir,1,577.8134766
52,2012,AR-IKHTAMIR,HAN-ONDOR-SUVARGIIN ENGER,AR-Ikhtamir / Han-Ondor-Suvargiin enger,I,Loamy,2,1,1.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,2012,AR-IKHTAMIR,HOHNUUR-ULAALZAIN AM,AR-Ikhtamir / Hohnuur-Ulaalzain am,I,Loamy,2,1,1.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,3.25,0,6.75,0,0,31.75,0,0,0,0,0,16.25,7.25,4,0,0,0,0,35,0,0,0,4.25,0,0,0,0,0.25,82.5,13,21,Arhangai-Ikhtamir,1,545.4127808
54,2012,AR-IKHTAMIR,TAIHAR-HUJIRT,AR-Ikhtamir / Taihar-Hujirt,I,Loamy,2,1,1.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,2012,AR-JARGALANT,ASAIT-BULGIIN DAVAA,AR-Jargalant / Asait-Bulgiin davaa,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,0.5,0,0,68,0,0,0,2.5,0,29,1.25,2.5,0,0,0,0,1,0,1.5,0,0,0,0,0,12.75,0,97.75,NA,17,Arhangai-Jargalant,1,565.413269
56,2012,AR-JARGALANT,BAYANTSAGAAN-HURENGIIN BEL,AR-Jargalant / Bayantsagaan-Hurengiin bel,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,1,0,2,0,0,44.5,5,5,0,0,0,35,5.75,3.5,0,0,0,0,10.75,0,0,0,0,0,0,0,26.25,2,94,0.5,17,Arhangai-Jargalant,1,3148.420166
57,2012,AR-JARGALANT,ERDENEUUL- SHAR HONDII,AR-Jargalant / Erdeneuul- shar hondii,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,1.25,0,2,0,0,44.75,5,5,0,0,0,38.5,6.75,3.5,0,0,0,0,9.5,0,0,0,0,0,0,0,28.25,1.75,93.75,0.75,16,Arhangai-Jargalant,1,749.8175659
58,2012,AR-JARGALANT,HOOLT- HETS DAVAANII AM,AR-Jargalant / Hoolt- Hets davaanii am,I,Loamy,3,1,1.1,1,Yes,"STBA-forbs meadow rangeland in loamy fan ESG, FS",0,1,0,6.25,0,0,27,0,0,0,0,0,50.25,1.25,4.75,2.75,0,0,0,0,0,5.25,0,0.75,0,0,0,3.25,0,99.5,NA,26,Arhangai-Jargalant,1,1305.430542
59,2012,AR-JARGALANT,ZUSLAN-ZURHIIN OVOLJOO,AR-Jargalant / Zuslan-Zurhiin ovoljoo,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,1,0,3,0,0,29.5,0,0,0,0,0,62,0,4,0,0,0,0,1.75,0,5,0,0.5,0,0,0,21.25,0,100,NA,27,Arhangai-Jargalant,1,1483.234741
60,2012,AR-TARIAT,ALTAAD-OVOOT,AR-Tariat / Altaad-Ovoot,II,Loamy,2,2,2.1,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,32,0,0,35,10.25,10.25,0,0,0,40.5,17.75,38.75,38.5,0,0,0,0,0,0,0,0.5,0,0,0,0.25,0.25,92.75,5,21,Arhangai-Tariat,1,487.8114014
61,2012,AR-TARIAT,BOOROLJUUT-TSALUU,AR-Tariat / Booroljuut-Tsaluu,I,Loamy,2,1,1.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,15,0,0,36.75,35.75,35.75,4.5,0,0,56,18.5,34,7,0,0,0,0,0,0,0,0.25,0,0,0,0,6,96,2.5,22,Arhangai-Tariat,1,1147.226929
62,2012,AR-TARIAT,HORGO-UVUR SORT,AR-Tariat / Horgo-Uvur Sort,I,Loamy,3,1,1.1,1,Yes,"STBA-forbs meadow rangeland in loamy fan ESG, FS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,2012,AR-TARIAT,MORON-IH JARGALANT,AR-Tariat / Moron-Ih jargalant,I,Loamy,2,1,1.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,6.75,0,24.25,0,0,47.5,22.25,22.25,0,0,0,50.25,21.5,35,31.75,0,0,0,0,0,0,0,0,0,0,0,0,10.5,98,0.75,16,Arhangai-Tariat,1,400.0093689
64,2012,AR-TARIAT,SUMAN-NAM HOTOL,AR-Tariat / Suman-Nam hotol,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,35,0,0,62.5,0,0,0,0,0,59.75,35.75,24.25,0,0,0,0,0,0,0,0,0,0,0,0,0,16.75,94.5,2.25,8,Arhangai-Tariat,1,184.6043091
65,2012,AR-TARIAT,TERH-HUURAI,AR-Tariat / Terh-Huurai,II,Loamy,2,2,2.1,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,27,0,0,41,7.75,7.75,0.25,0,0,67.25,15.75,35.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,98.25,0.75,17,Arhangai-Tariat,1,427.0099792
